format,model_1,model_2,winrate,variance,nb_battles,wins,losses,ties
gen1randombattle,crystal_2_00300,crystal_2_00300,0.51450000,0.000249789540,1000,514,485,1
gen1randombattle,crystal_2_00300,crystal_2_00500,0.49100000,0.000249668669,1000,490,508,2
gen1randombattle,crystal_2_00300,crystal_3_00200,0.51500000,0.000249524525,1000,514,484,2
gen1randombattle,crystal_2_00300,crystal_3_00300,0.52300000,0.000249220220,1000,522,476,2
gen1randombattle,crystal_2_00300,crystal_3_00500,0.51900000,0.000249888889,1000,519,481,0
gen1randombattle,crystal_2_00500,crystal_2_00500,0.49150000,0.000248926677,1000,489,506,5
gen1randombattle,crystal_2_00500,crystal_3_00200,0.50400000,0.000248732733,1000,501,493,6
gen1randombattle,crystal_2_00500,crystal_3_00300,0.46950000,0.000248568318,1000,468,529,3
gen1randombattle,crystal_2_00500,crystal_3_00500,0.53000000,0.000248348348,1000,528,468,4
gen1randombattle,crystal_3_00200,crystal_3_00200,0.48800000,0.000249605606,1000,487,511,2
gen1randombattle,crystal_3_00200,crystal_3_00300,0.50550000,0.000249969720,1000,505,494,1
gen1randombattle,crystal_3_00200,crystal_3_00500,0.51200000,0.000249605606,1000,511,487,2
gen1randombattle,crystal_3_00300,crystal_3_00300,0.47450000,0.000249349099,1000,474,525,1
gen1randombattle,crystal_3_00300,crystal_3_00500,0.51100000,0.000249628629,1000,510,488,2
gen1randombattle,crystal_3_00500,crystal_3_00500,0.50700000,0.000250201201,1000,507,493,0
gen1randombattle,random,MaxBasePower,0.25600000,0.000188652653,1000,252,740,8
gen1randombattle,random,SimpleHeuristics,0.05400000,0.000049633634,1000,51,943,6
gen1randombattle,random,crystal_1_00200,0.17550000,0.000144093844,1000,174,823,3
gen1randombattle,random,crystal_1_00300,0.18600000,0.000150554555,1000,184,812,4
gen1randombattle,random,crystal_1_00500,0.17300000,0.000142713714,1000,172,826,2
gen1randombattle,random,crystal_2_00200,0.19200000,0.000152788789,1000,187,803,10
gen1randombattle,random,crystal_2_00300,0.17250000,0.000141635385,1000,170,825,5
gen1randombattle,random,crystal_2_00500,0.18350000,0.000148726476,1000,181,814,5
gen1randombattle,random,crystal_3_00200,0.16650000,0.000137665415,1000,164,831,5
gen1randombattle,random,crystal_3_00300,0.19050000,0.000153112863,1000,188,807,5
gen1randombattle,random,crystal_3_00500,0.18900000,0.000152431431,1000,187,809,4
gen1randombattle,random,random,0.49150000,0.000247425175,1000,486,503,11
gen1randombattle,random,red-hp-1-150,0.27650000,0.000198996747,1000,274,721,5
gen1randombattle,random,red-mixed-1-60,0.42300000,0.000241312312,1000,417,571,12
gen1randombattle,random,red-outcome-1-140,0.38700000,0.000234965966,1000,382,608,10
gen1randombattle,random,red-shapped-1-100,0.45250000,0.000245739489,1000,448,543,9
gen1randombattle,random,red-skewed-enemy-1-150,0.40900000,0.000239458458,1000,404,586,10
gen1randombattle,random,red-skewed-own-1-20,0.44000000,0.000245145145,1000,437,557,6
gen1randombattle,red-hp-1-150,red-hp-1-150,0.52450000,0.000248398148,1000,522,473,5
gen1randombattle,red-hp-1-150,red-mixed-1-60,0.63200000,0.000229305305,1000,625,361,14
gen1randombattle,red-hp-1-150,red-outcome-1-140,0.60800000,0.000238074074,1000,607,391,2
gen1randombattle,red-hp-1-150,red-shapped-1-100,0.66600000,0.000221165165,1000,663,331,6
gen1randombattle,red-hp-1-150,red-skewed-enemy-1-150,0.67150000,0.000217555305,1000,665,322,13
gen1randombattle,red-hp-1-150,red-skewed-own-1-20,0.66750000,0.000220414164,1000,664,329,7
gen1randombattle,red-mixed-1-60,red-mixed-1-60,0.51750000,0.000246690440,1000,511,476,13
gen1randombattle,red-mixed-1-60,red-outcome-1-140,0.45700000,0.000244895896,1000,450,536,14
gen1randombattle,red-mixed-1-60,red-shapped-1-100,0.51450000,0.000246786537,1000,508,479,13
gen1randombattle,red-mixed-1-60,red-skewed-enemy-1-150,0.52950000,0.000245625375,1000,522,463,15
gen1randombattle,red-mixed-1-60,red-skewed-own-1-20,0.54300000,0.000245396396,1000,537,451,12
gen1randombattle,red-outcome-1-140,red-outcome-1-140,0.48600000,0.000248552553,1000,483,511,6
gen1randombattle,red-outcome-1-140,red-shapped-1-100,0.52050000,0.000246576326,1000,514,473,13
gen1randombattle,red-outcome-1-140,red-skewed-enemy-1-150,0.51700000,0.000246957958,1000,511,477,12
gen1randombattle,red-outcome-1-140,red-skewed-own-1-20,0.54400000,0.000244808809,1000,537,449,14
gen1randombattle,red-shapped-1-100,red-shapped-1-100,0.49900000,0.000247746747,1000,494,496,10
gen1randombattle,red-shapped-1-100,red-skewed-enemy-1-150,0.48000000,0.000245845846,1000,472,512,16
gen1randombattle,red-shapped-1-100,red-skewed-own-1-20,0.50250000,0.000247991742,1000,498,493,9
gen1randombattle,red-skewed-enemy-1-150,red-skewed-enemy-1-150,0.48550000,0.000246286036,1000,478,507,15
gen1randombattle,red-skewed-enemy-1-150,red-skewed-own-1-20,0.51550000,0.000246256006,1000,508,477,15
gen1randombattle,red-skewed-own-1-20,red-skewed-own-1-20,0.50100000,0.000248247247,1000,497,495,8
